GCF_006539145.1	GCF_006539145.1_ASM653914v1_genomic.fna
GCF_006540085.1	GCF_006540085.1_ASM654008v1_genomic.fna
GCF_006715145.1	GCF_006715145.1_ASM671514v1_genomic.fna
GCF_006715565.1	GCF_006715565.1_ASM671556v1_genomic.fna
GCF_006716345.1	GCF_006716345.1_ASM671634v1_genomic.fna
GCF_006716815.1	GCF_006716815.1_ASM671681v1_genomic.fna
GCF_006783905.1	GCF_006783905.1_ASM678390v1_genomic.fna
GCF_007558825.1	GCF_007558825.1_ASM755882v1_genomic.fna
GCF_007667425.1	GCF_007667425.1_ASM766742v1_genomic.fna
GCF_007679045.1	GCF_007679045.1_ASM767904v1_genomic.fna
GCF_007833215.1	GCF_007833215.1_ASM783321v1_genomic.fna
GCF_007833795.1	GCF_007833795.1_ASM783379v1_genomic.fna
GCF_007859635.1	GCF_007859635.1_ASM785963v1_genomic.fna
GCF_007954505.1	GCF_007954505.1_ASM795450v1_genomic.fna
GCF_007988825.1	GCF_007988825.1_ASM798882v1_genomic.fna
GCF_007992455.1	GCF_007992455.1_ASM799245v1_genomic.fna
GCF_007995065.1	GCF_007995065.1_ASM799506v1_genomic.fna
GCF_008017415.1	GCF_008017415.1_ASM801741v1_genomic.fna
GCF_008017445.1	GCF_008017445.1_ASM801744v1_genomic.fna
GCF_008632075.1	GCF_008632075.1_ASM863207v1_genomic.fna
GCF_008710705.1	GCF_008710705.1_ASM871070v1_genomic.fna
GCF_008710745.1	GCF_008710745.1_ASM871074v1_genomic.fna
GCF_008727755.1	GCF_008727755.1_ASM872775v1_genomic.fna
GCF_008727775.1	GCF_008727775.1_ASM872777v1_genomic.fna
GCF_008763945.1	GCF_008763945.1_FS54_genomic.fna
