GCF_002979475.1	GCF_002979475.1_ASM297947v1_genomic.fna
GCF_002979655.1	GCF_002979655.1_ASM297965v1_genomic.fna
GCF_003046295.1	GCF_003046295.1_ASM304629v1_genomic.fna
GCF_003050705.1	GCF_003050705.1_ASM305070v1_genomic.fna
GCF_003050745.1	GCF_003050745.1_ASM305074v1_genomic.fna
GCF_003053745.1	GCF_003053745.1_ASM305374v1_genomic.fna
GCF_003075375.1	GCF_003075375.1_ASM307537v1_genomic.fna
GCF_003075395.1	GCF_003075395.1_ASM307539v1_genomic.fna
GCF_003095395.1	GCF_003095395.1_ASM309539v1_genomic.fna
GCF_003096275.1	GCF_003096275.1_ASM309627v1_genomic.fna
GCF_003130585.1	GCF_003130585.1_ASM313058v1_genomic.fna
GCF_003171655.1	GCF_003171655.1_ASM317165v1_genomic.fna
GCF_003254645.1	GCF_003254645.1_ASM325464v1_genomic.fna
GCF_003289625.1	GCF_003289625.1_ASM328962v1_genomic.fna
GCF_003293595.1	GCF_003293595.1_ASM329359v1_genomic.fna
GCF_003315415.1	GCF_003315415.1_ASM331541v1_genomic.fna
GCF_003327285.1	GCF_003327285.1_ASM332728v1_genomic.fna
GCF_003345355.1	GCF_003345355.1_ASM334535v1_genomic.fna
GCF_003355005.1	GCF_003355005.1_ASM335500v1_genomic.fna
GCF_003355475.1	GCF_003355475.1_ASM335547v1_genomic.fna
GCF_003367705.1	GCF_003367705.1_ASM336770v1_genomic.fna
GCF_003387575.1	GCF_003387575.1_ASM338757v1_genomic.fna
GCF_003515075.1	GCF_003515075.1_ASM351507v1_genomic.fna
GCF_003550065.1	GCF_003550065.1_ASM355006v1_genomic.fna
GCF_003569805.1	GCF_003569805.1_ASM356980v1_genomic.fna
