accession	ko_id	map_id
GCF_009758255.1	K01081	map00760
GCF_009758255.1	K01081	map00240
GCF_009758255.1	K01081	map01232
GCF_009758255.1	K01081	map00230
GCF_009758255.1	K00265	map00910
GCF_009758255.1	K00265	map00250
GCF_009758255.1	K00265	map01230
GCF_009758255.1	K03046	map03020
GCF_009758255.1	K13821	map00250
GCF_009758255.1	K13821	map00330
GCF_009758255.1	K00370	map00910
GCF_009758255.1	K00370	map02020
GCF_009758255.1	K00164	map00020
GCF_009758255.1	K00164	map01200
GCF_009758255.1	K01616	map00020
GCF_009758255.1	K01616	map00630
GCF_009758255.1	K01616	map01200
GCF_009758255.1	K03723	map03420
GCF_009758255.1	K02337	map03430
GCF_009758255.1	K02337	map03030
GCF_009758255.1	K02337	map03440
GCF_009758255.1	K03043	map03020
GCF_009758255.1	K03657	map03430
GCF_009758255.1	K03657	map03420
GCF_009758255.1	K13821	map00250
GCF_009758255.1	K13821	map00330
GCF_009758255.1	K01958	map00020
GCF_009758255.1	K01958	map00720
GCF_009758255.1	K01958	map00620
GCF_009758255.1	K01958	map01230
GCF_009758255.1	K01958	map01200
GCF_009758255.1	K01870	map00970
GCF_009758255.1	K01955	map00250
GCF_009758255.1	K01955	map00240
GCF_009758255.1	K01955	map01240
GCF_009758255.1	K01191	map00511
GCF_009758255.1	K01190	map00511
GCF_009758255.1	K01190	map00600
GCF_009758255.1	K01190	map00052
GCF_009758255.1	K01191	map00511
GCF_009758255.1	K01190	map00511
GCF_009758255.1	K01190	map00600
GCF_009758255.1	K01190	map00052
GCF_009758255.1	K20276	map02024
GCF_009758255.1	K00281	map00630
GCF_009758255.1	K00281	map00260
GCF_009758255.1	K00281	map01200
GCF_009758255.1	K00283	map00630
GCF_009758255.1	K00283	map00260
GCF_009758255.1	K00283	map01200
GCF_009758255.1	K03701	map03420
GCF_009758255.1	K01218	map00051
GCF_009758255.1	K01218	map02024
GCF_009758255.1	K01681	map00020
GCF_009758255.1	K01681	map01210
GCF_009758255.1	K01681	map00630
GCF_009758255.1	K01681	map00720
GCF_009758255.1	K01681	map01230
GCF_009758255.1	K01681	map01200
GCF_009758255.1	K03070	map03060
GCF_009758255.1	K03070	map03070
GCF_009758255.1	K03070	map02024
GCF_009758255.1	K07646	map02020
GCF_009758255.1	K00163	map00020
GCF_009758255.1	K00163	map00010
GCF_009758255.1	K00163	map00620
GCF_009758255.1	K00163	map01200
GCF_009758255.1	K00163	map00020
GCF_009758255.1	K00163	map00010
GCF_009758255.1	K00163	map00620
GCF_009758255.1	K00163	map01200
GCF_009758255.1	K00362	map00910
GCF_009758255.1	K01595	map00710
GCF_009758255.1	K01595	map00720
GCF_009758255.1	K01595	map00620
GCF_009758255.1	K01595	map00680
GCF_009758255.1	K01595	map01200
GCF_009758255.1	K01872	map00970
GCF_009758255.1	K01434	map00311
GCF_009758255.1	K01006	map00710
GCF_009758255.1	K01006	map00010
GCF_009758255.1	K01006	map00720
GCF_009758255.1	K01006	map00620
GCF_009758255.1	K01006	map01200
GCF_009758255.1	K01007	map00010
GCF_009758255.1	K01007	map00720
GCF_009758255.1	K01007	map00620
GCF_009758255.1	K01007	map00680
GCF_009758255.1	K01007	map01200
GCF_009758255.1	K02335	map03410
GCF_009758255.1	K02335	map03420
GCF_009758255.1	K02335	map03030
GCF_009758255.1	K02335	map03440
GCF_009758255.1	K00368	map00910
GCF_009758255.1	K01873	map00970
GCF_009758255.1	K01183	map00520
GCF_009758255.1	K01256	map00480
GCF_009758255.1	K02343	map03430
GCF_009758255.1	K02343	map03030
GCF_009758255.1	K02343	map03440
GCF_009758255.1	K01869	map00970
GCF_009758255.1	K03701	map03420
GCF_009758255.1	K01256	map00480
GCF_009758255.1	K01890	map00970
GCF_009758255.1	K05342	map00500
GCF_009758255.1	K01192	map00511
GCF_009758255.1	K01192	map04142
GCF_009758255.1	K01130	map00600
GCF_009758255.1	K03657	map03430
GCF_009758255.1	K03657	map03420
GCF_009758255.1	K01192	map00511
GCF_009758255.1	K01192	map04142
GCF_009758255.1	K01007	map00010
GCF_009758255.1	K01007	map00720
GCF_009758255.1	K01007	map00620
GCF_009758255.1	K01007	map00680
GCF_009758255.1	K01007	map01200
GCF_009758255.1	K21787	map00333
GCF_009758255.1	K05349	map00946
GCF_009758255.1	K05349	map00460
GCF_009758255.1	K05349	map00999
GCF_009758255.1	K05349	map00500
GCF_009758255.1	K00688	map04922
GCF_009758255.1	K00688	map02026
GCF_009758255.1	K00688	map04931
GCF_009758255.1	K00688	map04910
GCF_009758255.1	K00688	map04217
GCF_009758255.1	K00688	map00500
GCF_009758255.1	K08300	map03018
GCF_009758255.1	K01971	map03450
GCF_009758255.1	K10747	map03410
GCF_009758255.1	K10747	map03430
GCF_009758255.1	K10747	map03420
GCF_009758255.1	K10747	map03030
GCF_009758255.1	K01007	map00010
GCF_009758255.1	K01007	map00720
GCF_009758255.1	K01007	map00620
GCF_009758255.1	K01007	map00680
GCF_009758255.1	K01007	map01200
GCF_009758255.1	K21787	map00333
GCF_009758255.1	K01190	map00511
GCF_009758255.1	K01190	map00600
